"actionID"	"name"	"exp"	"z3exp"	"upname"	"description"
"2"	"Play Favorite"	"speaker favorite = play"	"speaker favorite == 0"	"speaker"	"this action will play a speaker favorite"
"4"	"Close door"	"garage door = close"	"garage door == 0"	"home"	"this action will close a garage door"
"5"	"Set fan to on, auto or circulate"	"thermostat fan = turn on"	"thermostat fan == 0"	"home"	"this action will set the  thermostat fan to on"
"9"	"Set temperature to a permanent hold"	"air temperature  = value"	"air temperature == 8"	"home"	"this action will set your  thermostat to permanently hold the specified temperature"
"21"	"Dock robot"	"sweeper = park"	"sweeper == 2"	"sweeper"	"this action will dock your robot"
"22"	"Start robot"	"sweeper = start"	"sweeper == 0"	"sweeper"	"this action will start your robot"
"24"	"Turn off  light"	"light = turn off"	"light == 4"	"light"	"this action will turn off your light"
"42"	"turn off"	"device = turn off"	"device == 7"	"home"	"this action will turn off your device"
"53"	"Change camera mode"	"camera mode = change"	"camera mode == 2"	"home"	"this action will change your home camera mode"
"58"	"Turn on / change light mode"	"light = turn on"	"light == 0"	"light"	"this action will turn on the selected light"
"59"	"Turn on  light"	"light = turn on"	"light == 0"	"light"	"this action will turn on your light"
"62"	"Preheat oven"	"oven program = preheat"	"oven program == 0"	"oven"	"this action will preheat your oven using the hot air program with the fast preheat option"
"63"	"Blink  light"	"light = turn off"	"light == 4"	"light"	"this action will briefly turn your light off"
"64"	"Turn off oven"	"oven = turn off"	"oven == 1"	"oven"	"this action will turn off your oven"
"65"	"Turn on oven"	"oven = turn on"	"oven == 0"	"oven"	"this action will turn on your oven"
"68"	"Start heating mode"	"oven mode = heating"	"oven mode == 1"	"oven"	"this action will start the selected heating mode"
"71"	"Let Homey speak"	"speaker = turn on"	"speaker == 3"	"home"	"this action will let home speak"
"74"	"Turn off hood"	"hood = turn off"	"hood == 1"	"home"	"this action will turn off your hood"
"77"	"Set a scene in a room"	"light scene = turn on"	"light scene == 0"	"light"	"this action well set a scene on your light"
"78"	"Turn on ambient light"	"light = turn on"	"light == 0"	"home"	"this action will turn on the ambient light of your hood"
"81"	"Play Stream"	"speaker = turn on"	"speaker == 3"	"speaker"	"this action will stream audio, such as a radio station, from a url"
"84"	"Start selected program"	"dishwasher program = start"	"dishwasher program == 0"	"dishwasher"	"this action will start the dishwasher program"
"86"	"Start program"	"dishwasher program = start"	"dishwasher program == 0"	"dishwasher"	"this action will start the selected dishwasher program"
