"app_num"	"name"	"triggerIDs"	"actionIDs"	"id"	"installs_count"	"author"
"1"	"Play my Sonos favorites when Honeywell Smart Home Security switches to Home mode."	"['1']"	"['2']"	"j2KnszDy"	"0"	"Honeywell Home"
"2"	"Close the garage door when Honeywell Smart Home Security switches to away mode."	"['3']"	"['4']"	"qXyvGN83"	"1"	"Honeywell Home"
"3"	"If Honeywell Smart Home Security switches to Home, set Honeywell thermostat to Auto"	"['1']"	"['5']"	"hXmLnNdS"	"1"	"Honeywell Home"
"4"	"Text me when a water leak is detected"	"['6']"	"['7']"	"JuxhvAst"	"642"	"Honeywell Home"
"5"	"Automatically turn on A/C if the temperature gets too hot"	"['8']"	"['9']"	"mTSJU3hd"	"156"	"honeywell"
"11"	"When a leak is detected, turn my Philips Hue Lights Blue"	"['6']"	"['16']"	"d7zHUu48"	"47"	"Honeywell Home"
"12"	"If Honeywell Smart Home Security switches to Off mode, text me."	"['17']"	"['7']"	"wFQjEJHp"	"5"	"Honeywell Home"
"13"	"Honeywell Smart Thermostat: Set temperature for when PTS Hours end"	"['18']"	"['9']"	"PLcZESNg"	"8"	"ComEd Peak Time Savings"
"14"	"Turn on my Honeywell Lyric fan when it's above a certain temperature"	"['19']"	"['5']"	"RTtEy8KJ"	"1"	"Tempest Weather System"
"16"	"Dock Roomba® when Honeywell Smart Home Security switches to Home mode."	"['1']"	"['21']"	"HcLfyVhH"	"1"	"Honeywell Home"
"17"	"Start Roomba® when Honeywell Smart Home Security switches to Away mode."	"['3']"	"['22']"	"DSkVQzjy"	"1"	"Honeywell Home"
"18"	"Set desired fan mode at a specific time"	"['23']"	"['5']"	"MNx58EMk"	"16"	"wolf_in_bull_city"
"19"	"Turn off my Philips Hue lights when Honeywell Smart Home Security switches to Away mode."	"['3']"	"['24']"	"F4r2eN8t"	"2"	"Honeywell Home"
"20"	"Set your Lyric Thermostat at a certain time"	"['23']"	"['9']"	"HXDE3HdR"	"115"	"honeywell"
"21"	"When the outside temperature rises above 40°F, AC set heat and Honeywell thermostat is set to 50°F"	"['8']"	"['9']"	"RmKxVGvA"	"1"	"FUJITSU GENERAL LIMITED"
"22"	"When the outside temperature falls below 34°F, turn off AC and Honeywell thermostat is set to 88°F"	"['26']"	"['9']"	"wRVZrin6"	"3"	"FUJITSU GENERAL LIMITED"
"32"	"When RF alarm activated, send me an IFTTT notification"	"['38']"	"['37']"	"WxSqY6wf"	"17"	"eWeLink Smart Home"
"41"	"When RF alarm activated, send me an email"	"['38']"	"['45']"	"d2gbJ9nP"	"7"	"eWeLink Smart Home"
"48"	"Send me SMS message when RF sensor is activated"	"['38']"	"['7']"	"jatBJ2p5"	"7"	"eWeLink Smart Home"
"59"	"Turn on my Withings Home automatically when I leave home"	"['41']"	"['53']"	"X4wak8PN"	"731"	"withings"
"60"	"Turn off Withings Home automatically when I'm Home"	"['34']"	"['53']"	"XTyFXSnc"	"988"	"withings"
"62"	"If an air quality alert is triggered, change light color to red."	"['55']"	"['16']"	"Vme5NVdL"	"81"	"withings"
"64"	"Turn on the light when my Withings Home detects motion"	"['56']"	"['58']"	"ZrPB8YWy"	"1"	"WiZ"
"65"	"Change the light to orange when there is an air quality alert"	"['55']"	"['58']"	"Q4rnkGtA"	"5"	"WiZ"
"66"	"Turn on your lights if motion is detected"	"['56']"	"['59']"	"uqnBQZEW"	"147"	"withings"
"69"	"When your Nest is set to Away, your Withings Home will turn on automatically."	"['60']"	"['53']"	"sDxJTS7z"	"24"	"withings"
"70"	"Every day at 09:00 AM, turn on your Withings Home and set it to Active Monitoring."	"['23']"	"['53']"	"LFkC8V5U"	"48"	"withings"
"71"	"Play a favorite on your Sonos when dinner is ready"	"['61']"	"['2']"	"eW9TAprD"	"0"	"Home Connect Oven"
"72"	"Preheat your oven"	"['29']"	"['62']"	"FyGHvxUT"	"318"	"Home Connect Oven"
"73"	"Blink your Philips Hue lights when dinner is ready"	"['61']"	"['63']"	"uewZjbTm"	"234"	"Home Connect Oven"
"74"	"Tell Google Assistant to preheat your oven"	"['27']"	"['62']"	"XQbhXEyu"	"589"	"Home Connect Oven"
"75"	"Turn off oven"	"['29']"	"['64']"	"dsywPmcF"	"271"	"Home Connect Oven"
"76"	"Ask Google Assistant to preheat HC oven"	"['27']"	"['65', '62']"	"WXsPVUA9"	"91"	"hannesbe"
