"triggerID"	"name"	"exp"	"z3exp"	"upname"	"description"
"1"	"Smart Home Security home mode activated"	"home mode = home "	"home mode == 0"	"home"	"this trigger fires when the home security device enters home mode"
"3"	"Smart Home Security away mode activated"	"home mode = away"	"home mode == 5"	"home"	"this trigger fires when the home security device enters away mode"
"6"	"Water leak detect"	"water leak = detect"	"water leak == 0"	"home"	"this trigger fires when the system detects a water leak"
"8"	"Current temperature rise above"	"weather temperature = greater value"	"weather temperature > 1"	"weather"	"this trigger fires when the temperature rise above the value"
"10"	"The price of electricity change"	"energy electricity_price = point"	"energy electricity_price == 1"	"energy"	"this trigger fires when wholesale electricity hits a certain price point"
"13"	"Total Connect security panel arming mode has changed"	"home mode = change"	"home mode == 7"	"home"	"this trigger fires when my total connect security panel has been arm or disarm"
"15"	"Temperature is too low"	"air temperature = less value"	"air temperature < 0"	"home"	"this trigger fires when a specified tag senses that its ambient temperature falls below an lower value configured at temperature options screen inside the home app"
"17"	"Smart Home Security off mode activated"	"home security_mode = off"	"home security_mode == 3"	"home"	"this trigger fires when the home security device enters off mode"
"18"	"Peak Time Savings Hours announced"	"energy savings = announced"	"energy savings == 0"	"energy"	"this trigger activates whenever peak time savings hours are announced and during various stages of an event"
"19"	"Temperature rise above"	"weather temperature = greater value"	"weather temperature > 1"	"weather"	"this trigger fires when your weather smart weather station's temperature rise above a value that you select"
"20"	"Routine activated"	"home routine = run"	"home routine == 0"	"home"	"this trigger fires when a routine is activated"
"23"	"Every day at"	"time  = specific time"	"time == 5"	"time"	"this trigger fires when at a specific time"
"26"	"Current temperature drops below"	"weather temperature = less value"	"weather temperature < 0"	"weather"	"this trigger monitors your local temperature and fires whenever the temperature drops below the value  "
"29"	"Button press"	"switch = turn on"	"switch == 3"	"switch"	"this trigger fires when you press the button"
"33"	"Switched on"	"device = turn on"	"device == 2"	"home"	"this trigger fires when your home device is switched on"
