
t_action
actionId	deviceId	attribute	newValue
150	76	equipment status	2
151	75	equipment status	2
152	76	equipment status	2
153	79	temperature	30
156	79	temperature	14
164	79	equipment status	4
166	75	equipment status	1
167	78	equipment status	1
168	78	equipment status	2
171	82	equipment status	1
172	79	equipment status	4
174	112	equipment status	1
175	82	equipment status	1
176	113	equipment status	3
177	104	equipment status	1
178	108	equipment status	1
179	95	equipment status	2
180	103	equipment status	2
181	104	equipment status	2
182	95	equipment status	2
183	120	equipment status	1
184	120	equipment status	2
185	79	equipment status	3
186	79	temperature	25
187	82	equipment status	1
188	122	equipment status	2
189	121	equipment status	2
190	121	equipment status	2
191	83	equipment status	1
192	73	equipment status	1
193	80	equipment status	1
194	88	equipment status	1
195	89	equipment status	1
196	74	equipment status	1
197	79	equipment status	1
198	91	equipment status	1
199	78	equipment status	2
200	79	equipment status	1
201	86	equipment status	1
202	103	equipment status	2
203	75	equipment status	1
204	101	equipment status	1
205	75	equipment status	2
206	99	equipment status	4
207	73	equipment status	1
208	83	model	1
209	82	equipment status	1
210	84	equipment status	1
211	116	equipment status	2
212	90	equipment status	1
213	115	equipment status	1
215	73	equipment status	1
216	77	equipment status	1
217	76	equipment status	4
218	84	equipment status	1
219	82	equipment status	1
220	101	equipment status	1
221	102	equipment status	1
222	99	equipment status	4
223	103	equipment status	1
224	97	equipment status	1
225	104	equipment status	2
226	96	equipment status	1
227	106	equipment status	1
228	119	equipment status	1
230	117	equipment status	1
231	116	equipment status	4
232	111	equipment status	2
233	110	equipment status	1
234	113	equipment status	2
235	85	equipment status	1
236	107	equipment status	2
237	120	equipment status	1
238	82	equipment status	1
239	74	equipment status	1
240	111	equipment status	2
241	106	equipment status	1
242	79	equipment status	2
243	89	equipment status	1
244	91	equipment status	1
245	92	equipment status	1
246	86	equipment status	1
247	95	equipment status	2
248	98	equipment status	1
249	107	equipment status	1
250	97	equipment status	1
251	99	equipment status	5
252	116	temperature	twenty four
253	118	equipment status	1
254	113	equipment status	1
255	114	equipment status	2
256	110	equipment status	2
259	82	equipment status	1
260	111	equipment status	2
261	91	equipment status	1
262	77	equipment status	1
263	111	equipment status	2
264	116	equipment status	4
265	76	equipment status	4
267	84	equipment status	2
268	81	equipment status	2
269	97	equipment status	1
271	107	equipment status	1
272	104	equipment status	1
273	96	equipment status	1
274	99	equipment status	4
275	101	equipment status	2
276	103	equipment status	2
277	116	equipment status	4
278	117	equipment status	1
279	111	equipment status	1
280	115	equipment status	1
281	113	equipment status	2
282	115	equipment status	2
283	114	screen brightness	4
284	122	equipment status	2
285	115	equipment status	2
286	107	equipment status	1
288	106	equipment status	1
289	106	equipment status	2
290	96	equipment status	2
291	107	equipment status	1
292	107	equipment status	2
293	82	equipment status	1
294	74	equipment status	2
295	74	equipment status	1
296	86	equipment status	1
297	91	equipment status	1
298	87	equipment status	2
299	85	equipment status	2
300	81	equipment status	2
301	91	equipment status	1
302	90	equipment status	2
303	82	wind speed	3
304	74	equipment status	2
305	79	equipment status	4
306	77	equipment status	2
307	97	equipment status	2
308	95	equipment status	2
309	106	equipment status	1
310	96	equipment status	1
311	99	equipment status	1
312	103	equipment status	1
313	107	equipment status	1
314	116	equipment status	1
315	115	equipment status	1
316	110	equipment status	1
317	111	equipment status	2
318	111	equipment status	2
319	112	equipment status	2
320	110	equipment status	2
324	82	wind speed	4
325	82	Timing	1
326	74	equipment status	2
327	82	equipment status	2
328	84	equipment status	1
329	84	equipment status	2
330	99	temperature	28
331	103	equipment status	1
332	99	equipment status	1
333	103	equipment status	2
334	106	equipment status	1
335	101	equipment status	1
336	107	equipment status	1
337	113	equipment status	3
338	115	timing	2
339	116	equipment status	3
340	116	temperature	twenty four
341	117	equipment status	1
342	112	equipment status	1
343	110	equipment status	1
344	116	temperature	26
345	112	equipment status	2
346	121	equipment status	1
347	112	equipment status	1
348	115	equipment status	2
349	116	equipment status	4
350	116	temperature	26
351	82	equipment status	1
