
t_condition
conditionId	deviceId	attribute	compareType	standardValue
125	73	equipment status	1	1
126	73	equipment status	1	1
127	75	equipment status	1	1
128	75	equipment status	1	1
131	75	equipment status	1	1
138	80	Human detection	1	1
139	91	equipment status	1	1
141	73	PM2.5 concentration	1	4
143	88	temperature	4	30
144	80	Human detection	1	1
145	88	temperature	4	30
146	80	Human detection	1	1
147	88	temperature	4	30
148	73	PM2.5 concentration	1	4
150	88	temperature	4	30
151	118	meteorological	1	4
152	73	PM2.5 concentration	4	3
153	119	temperature	4	15
154	100	Human detection	1	1
156	100	Human detection	1	2
157	101	equipment status	1	1
158	103	equipment status	1	1
159	88	temperature	5	15
160	89	smoke detection	1	1
161	83	equipment status	1	2
162	80	equipment status	1	2
163	73	equipment status	1	2
164	88	equipment status	1	2
165	89	equipment status	1	2
166	73	PM2.5 concentration	1	1
167	74	equipment status	1	1
168	75	equipment status	1	2
169	80	Human detection	1	2
171	99	equipment status	1	1
172	87	equipment status	1	1
173	105	temperature	2	30
174	91	equipment status	1	1
175	118	meteorological	1	6
176	80	Human detection	1	1
177	80	Human detection	1	1
178	80	Human detection	1	1
179	87	equipment status	1	1
180	91	equipment status	1	
181	91	equipment status	1	1
182	116	equipment status	1	3
183	80	equipment status	1	1
184	78	equipment status	1	1
185	79	equipment status	1	4
186	88	temperature	3	5
187	73	PM2.5 concentration	4	4
189	100	Human detection	1	1
190	100	Human detection	1	1
191	105	temperature	4	33
192	105	temperature	3	5
193	107	equipment status	1	1
194	107	equipment status	1	1
195	98	equipment status	1	1
196	108	equipment status	1	1
197	122	equipment status	1	1
198	119	temperature	5	5
199	119	temperature	2	33
200	118	meteorological	1	6
201	114	equipment status	1	1
202	117	equipment status	1	1
203	92	equipment status	1	1
204	95	equipment status	1	1
205	95	equipment status	1	2
206	116	equipment status	1	4
207	73	PM2.5 concentration	1	4
208	80	Human detection	1	1
209	117	equipment status	1	1
210	100	Human detection	1	1
211	73	PM2.5 concentration	4	5
212	80	Human detection	1	1
213	90	volume	4	twenty one
214	100	Human detection	1	2
215	100	Human detection	1	1
216	119	temperature	4	28
217	121	equipment status	1	2
218	73	PM2.5 concentration	4	3
219	118	meteorological	4	4
220	80	Human detection	1	1
221	78	equipment status	1	1
222	116	equipment status	4	2
223	119	temperature	4	28
224	79	equipment status	1	4
226	79	equipment status	1	3
227	79	equipment status	1	6
228	100	Human detection	1	1
230	100	Human detection	1	1
231	98	screen brightness	5	6
232	98	equipment status	1	1
233	105	temperature	4	30
234	100	Human detection	1	1
235	99	equipment status	1	6
236	99	equipment status	1	3
237	119	temperature	4	30
238	119	temperature	5	15
239	118	meteorological	1	1
240	121	equipment status	1	2
241	118	meteorological	1	7
242	118	meteorological	1	5
243	116	equipment status	1	6
244	121	equipment status	1	2
245	114	equipment status	1	1
246	120	volume	2	9
247	120	volume	3	4
248	115	Storage water volume (%)	3	10
