"module_num"	"module_name"
"1"	"sonos"
"2"	"honeywell_lyric"
"3"	"myq_devices"
"4"	"sms"
"5"	"weather"
"6"	"griddy"
"7"	"google_assistant"
"8"	"resideo_total_connect"
"9"	"ComEd_HourlyPricing"
"10"	"wirelesstag"
"11"	"hue"
"12"	"comed_pts"
"13"	"weatherflow"
"14"	"nikohomecontrol"
"15"	"irobot"
"16"	"date_and_time"
"17"	"fujitsu_general_limited"
"18"	"ewelink"
"19"	"do_button"
"20"	"google_sheets"
"21"	"smartthings"
"22"	"location"
"23"	"if_notifications"
"24"	"telegram"
"25"	"voip_calls"
"26"	"email"
"27"	"gmail"
"28"	"apilio"
"29"	"callmebot"
"30"	"withingshome"
"31"	"routee"
"32"	"wiz"
"33"	"nest_thermostat"
"34"	"hc_oven"
"35"	"homey"
"36"	"homeseer"
"37"	"hc_hood"
"38"	"ihaus_smoke_detector"
"39"	"nest_protect"
"40"	"energeasyconnect"
"41"	"True_Energy"
"42"	"hc_dishwasher"
"43"	"amazon_alexa"
"44"	"energenie_mi_home"
"45"	"tado_heating"
"46"	"google_calendar"
"47"	"livisi"
"48"	"nuki"
"49"	"alko_smart_garden"
"50"	"legrand_home_control"
"51"	"hc_washer"
"52"	"android_device"
"53"	"Magic_Home"
"54"	"hc_dryer"
"55"	"dominos"
"56"	"ohmconnect"
"57"	"watts"
"58"	"flic"
"59"	"hc_coffee_machine"
"60"	"dlink_connected_home_camera"
"61"	"woopla"
"62"	"knocki"
"63"	"angelcam"
"64"	"ring"
"65"	"tantiv4"
"66"	"ifttt"
"67"	"noonhome"
"68"	"lifx"
"69"	"powerview"
"70"	"halohome"
"71"	"fibaro"
"72"	"bang_olufsens_beo_link_gateway"
"73"	"harmony"
"74"	"somfy_mylink"
"75"	"arlo"
"76"	"netatmo"
"77"	"danalock"
"78"	"somfy_protect"
"79"	"daikin_online_controller"
"80"	"tplink_router"
"81"	"BG_HOME"
"82"	"cortana"
"83"	"gira"
"84"	"logitech_pop"
"85"	"gardena_smart_system"
"86"	"WithingsSleep"
"87"	"facebook"
